Course Allocation ID,Course Name,University Name,School Name,Enrollment Count,Term Name,End Status,Starting Stage,Next Stage After Start Stage,Date of Change,Admissions Drop Date
a0QPm00000UOpg1MAD,Course21,University24,School261,20,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UOrEsMAL,Course79,University9,School314,9,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UPCvxMAH,Course79,University9,School427,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-05-09
a0QPm00000UPEZaMAP,Course16,University9,School145,23,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UPFKLMA5,Course70,University1,School425,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-10-09
a0QPm00000UPiivMAD,Course3,University19,School447,11,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UPk81MAD,Course32,University7,School511,26,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UPOM3MAP,Course4,University15,School145,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03
a0QPm00000UQmqzMAD,Course47,University3,School381,20,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UQuzmMAD,Course45,University24,School552,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-06-30
a0QPm00000UR3yEMAT,Course32,University7,School328,16,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UR70xMAD,Course4,University15,School147,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03
a0QPm00000URB6CMAX,Course4,University15,School328,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03
a0QPm00000URFOHMA5,Course45,University24,School549,21,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000URFWLMA5,Course11,University2,School549,9,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000URG7SMAX,Course19,University1,School328,17,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000URKJ7MAP,Course82,University14,School147,13,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UTHieMAH,Course73,University15,School66,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03
a0QPm00000UTM0fMAH,Course16,University9,School211,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-08
a0QPm00000UTM8jMAH,Course3,University19,School211,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-08
a0QPm00000UTOLtMAP,Course32,University7,School222,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-09
a0QPm00000UTrfeMAD,Course16,University9,School43,23,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UTT29MAH,Course42,University2,School558,22,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UTzwYMAT,Course19,University1,School395,27,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UU5diMAD,Course60,University1,School76,25,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UU9hKMAT,Course19,University1,School86,20,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UUCIcMAP,Course3,University19,School330,27,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UUJAPMA5,Course65,University10,School86,25,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UUJOvMAP,Course60,University1,School86,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-11
a0QPm00000UULc1MAH,Course16,University9,School222,22,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UVOzFMAX,Course60,University1,School652,17,Spring 2026,Active,Offered,Accepted,2025-03-05,
a0QPm00000UObpzMAD,Course81,University23,School424,24,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UQkh8MAD,Course45,University24,School628,25,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000URBCcMAP,Course51,University1,School46,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-20
a0QPm00000URFcoMAH,Course4,University15,School628,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03
a0QPm00000URHwLMAX,Course11,University2,School628,25,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UVGiMMAX,Course23,University4,School162,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-12-01
a0QPm00000UVK7dMAH,Course33,University15,School411,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-09-04
a0QPm00000UY9qqMAD,Course65,University10,School132,25,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYcPnMAL,Course42,University2,School416,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-03-21
a0QPm00000UYcuSMAT,Course73,University15,School486,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-04-11
a0QPm00000UYebGMAT,Course4,University15,School132,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03
a0QPm00000UYf5vMAD,Course4,University15,School133,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03
a0QPm00000UYfAkMAL,Course21,University24,School522,16,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYGp6MAH,Course4,University15,School590,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03
a0QPm00000UYhPTMA1,Course73,University15,School590,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03
a0QPm00000UYjG0MAL,Course9,University4,School490,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-12-12
a0QPm00000UYmAcMAL,Course16,University9,School522,13,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYmiTMAT,Course23,University4,School65,15,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYo4MMAT,Course45,University24,School132,19,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYoabMAD,Course21,University24,School133,15,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYoHFMA1,Course13,University9,School132,18,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYoifMAD,Course45,University24,School133,20,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYpwWMAT,Course51,University1,School490,15,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYQZxMAP,Course21,University24,School132,18,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYQZyMAP,Course13,University9,School133,20,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYtC8MAL,Course60,University1,School319,5,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYUDlMAP,Course65,University10,School133,25,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYvCIMA1,Course13,University9,School387,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-22
a0QPm00000UYVOLMA5,Course65,University10,School342,14,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYw6jMAD,Course81,University23,School590,16,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYwUvMAL,Course21,University24,School590,8,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYwwLMAT,Course45,University24,School477,15,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYxUDMA1,Course13,University9,School490,19,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYylGMAT,Course65,University10,School486,16,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UYzarMAD,Course81,University23,School387,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-22
a0QPm00000UYzpNMAT,Course33,University15,School387,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-22
a0QPm00000UZ2QgMAL,Course35,University1,School486,22,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UZ3OLMA1,Course48,University21,School486,20,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UZ9woMAD,Course13,University9,School442,25,Spring 2026,Active,Offered,Accepted,2025-03-06,
a0QPm00000UZGAQMA5,Course32,University7,School170,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-04-03
a0QPm00000UZU5BMAX,Course65,University10,School354,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-24
a0QPm00000TpbYJMAZ,Course35,University1,School562,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-18
a0QPm00000TpQJ9MAN,Course70,University1,School562,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-04-18
a0QPm00000TxUauMAF,Course60,University1,School518,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-03-21
a0QPm00000Uf1zrMAB,Course16,University9,School606,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-07-08
a0QPm00000Ufr7BMAR,Course23,University4,School128,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-10-28
a0QPm00000UfZ29MAF,Course48,University21,School31,19,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UgjgzMAB,Course48,University21,School223,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12
a0QPm00000UgPQbMAN,Course60,University1,School128,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-10-28
a0QPm00000UODShMAP,Course73,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-11-03
a0QPm00000UOFG0MAP,Course33,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-10-30
a0QPm00000UOZUoMAP,Course4,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-11-03
a0QPm00000UPWcwMAH,Course79,University9,School598,8,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UR8t4MAD,Course60,University1,School223,22,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000URIPNMA5,Course33,University15,School223,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-11-03
a0QPm00000UTsyEMAT,Course65,University10,School155,23,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UU4xmMAD,Course48,University21,School155,20,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UU6JeMAL,Course13,University9,School155,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12
a0QPm00000UU9nmMAD,Course60,University1,School155,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12
a0QPm00000UUqj4MAD,Course45,University24,School83,15,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UV7jvMAD,Course65,University10,School83,9,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UVIfJMAX,Course16,University9,School3,19,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UVIPBMA5,Course60,University1,School3,21,Spring 2026,Active,Offered,Accepted,2025-03-07,
a0QPm00000UVLtJMAX,Course41,University3,School83,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12
a0QPm00000UZ2orMAD,Course73,University15,School88,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-09-29
a0QPm00000UgV4XMAV,Course51,University1,School257,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-08,2025-03-14
a0QPm00000UkI79MAF,Course48,University21,School422,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-09,2025-03-21
a0QPm00000UfueTMAR,Course65,University10,School465,16,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UfxNrMAJ,Course16,University9,School216,11,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UgItiMAF,Course21,University24,School59,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-12-02
a0QPm00000UgZBNMA3,Course73,University15,School59,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-11-03
a0QPm00000UgZuXMAV,Course51,University1,School59,21,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UkSODMA3,Course32,University7,School611,23,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UkT2XMAV,Course3,University19,School207,15,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UOSEqMAP,Course13,University9,School259,15,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UP5MbMAL,Course47,University3,School259,9,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UPRlLMAX,Course45,University24,School430,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-12-16
a0QPm00000UULCDMA5,Course60,University1,School531,12,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UYhm3MAD,Course51,University1,School382,13,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UYpjaMAD,Course51,University1,School537,24,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UYqisMAD,Course51,University1,School380,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-12-16
a0QPm00000UYydBMAT,Course35,University1,School382,25,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UYyN3MAL,Course19,University1,School382,27,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UZ0a9MAD,Course81,University23,School89,24,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UZ2LpMAL,Course60,University1,School537,25,Spring 2026,Active,Offered,Accepted,2025-03-10,
a0QPm00000UgbbOMAR,Course51,University1,School405,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-04-25
a0QPm00000Ugi09MAB,Course65,University10,School405,16,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UgVR9MAN,Course4,University15,School405,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-11-03
a0QPm00000UhA2sMAF,Course65,University10,School167,25,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UhB0ZMAV,Course21,University24,School167,13,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UnfQXMAZ,Course32,University7,School28,9,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UnkbVMAR,Course81,University23,School28,24,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UnMhGMAV,Course3,University19,School28,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-09-29
a0QPm00000UTGjGMAX,Course60,University1,School556,16,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UTUB7MAP,Course51,University1,School426,7,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UU3f8MAD,Course70,University1,School514,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-12-16
a0QPm00000UU4zOMAT,Course21,University24,School514,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-12-16
a0QPm00000UUHVBMA5,Course16,University9,School514,11,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000Uwmr1MAB,Course80,University10,School144,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-12-16
a0QPm00000UwzmdMAB,Course35,University1,School144,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2026-01-09
a0QPm00000Ux4HdMAJ,Course33,University15,School525,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-11-03
a0QPm00000UYscbMAD,Course51,University1,School417,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-03-21
a0QPm00000UYxhBMAT,Course16,University9,School304,19,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000UZ1CvMAL,Course33,University15,School304,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-11-03
a0QPm00000UZ3L9MAL,Course42,University2,School304,26,Spring 2026,Active,Offered,Accepted,2025-03-11,
a0QPm00000TjvUTMAZ,Course45,University24,School177,4,Spring 2026,Dropped,Offered,Accepted,2025-03-12,
a0QPm00000TjY3IMAV,Course65,University10,School177,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-12,2025-12-12
a0QPm00000TjyKHMAZ,Course82,University14,School177,10,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000Uf1JrMAJ,Course65,University10,School6,23,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000UfVWSMA3,Course47,University3,School6,24,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000UfYdyMAF,Course13,University9,School6,22,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000UNWlwMAH,Course4,University15,School15,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-12,2025-11-03
a0QPm00000UNzRLMA1,Course82,University14,School15,16,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000UO6EHMA1,Course16,University9,School15,10,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000UO6HVMA1,Course47,University3,School15,9,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000UYjhOMAT,Course45,University24,School616,17,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V0zT8MAJ,Course81,University23,School235,21,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V1RFdMAN,Course3,University19,School4,18,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V1Rp7MAF,Course45,University24,School4,22,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V1RQvMAN,Course13,University9,School4,17,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V1THRMA3,Course82,University14,School386,9,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V2OkMMAV,Course47,University3,School546,17,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000V39L3MAJ,Course21,University24,School37,22,Spring 2026,Active,Offered,Accepted,2025-03-12,
a0QPm00000TkJ8bMAF,Course82,University14,School507,10,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000UOhqaMAD,Course32,University7,School420,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2025-10-01
a0QPm00000UR5rzMAD,Course45,University24,School375,25,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000V16RLMAZ,Course33,University15,School336,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2025-11-03
a0QPm00000V1JhtMAF,Course21,University24,School309,16,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000V2FIsMAN,Course32,University7,School9,25,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000V2H7lMAF,Course42,University2,School9,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2026-01-07
a0QPm00000V2HCbMAN,Course21,University24,School9,26,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000V2sbyMAB,Course45,University24,School166,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2025-05-14
a0QPm00000V4maTMAR,Course48,University21,School355,27,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000V7TuhMAF,Course19,University1,School541,21,Spring 2026,Active,Offered,Accepted,2025-03-13,
a0QPm00000TpnhXMAR,Course51,University1,School373,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-14,2025-11-20
a0QPm00000TrTG5MAN,Course82,University14,School303,23,Spring 2026,Active,Offered,Accepted,2025-03-14,
a0QPm00000UQvO1MAL,Course51,University1,School365,14,Spring 2026,Active,Offered,Accepted,2025-03-14,
a0QPm00000UQwVMMA1,Course16,University9,School365,25,Spring 2026,Active,Offered,Accepted,2025-03-14,
a0QPm00000UR1mnMAD,Course79,University9,School365,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-14,2025-11-17
a0QPm00000V1QzWMAV,Course48,University21,School235,25,Spring 2026,Active,Offered,Accepted,2025-03-14,
a0QPm00000V6vkxMAB,Course82,University14,School188,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-14,2025-12-08
a0QPm00000UTUXhMAP,Course4,University15,School464,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-15,2025-11-03
a0QPm00000TrKESMA3,Course51,University1,School588,10,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000UkMKRMA3,Course79,University9,School621,16,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000UkT4AMAV,Course3,University19,School621,14,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000UO44RMAT,Course11,University2,School632,7,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000UQfhIMAT,Course51,University1,School520,25,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000UR8ElMAL,Course3,University19,School445,7,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V10FUMAZ,Course41,University3,School351,14,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V1yukMAB,Course35,University1,School577,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-12-12
a0QPm00000V27jWMAR,Course26,University15,School577,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-10-17
a0QPm00000V2Fp7MAF,Course13,University9,School577,25,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V2l4FMAR,Course25,University25,School343,21,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V2vq0MAB,Course79,University9,School351,11,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V32bJMAR,Course25,University25,School351,27,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V32EjMAJ,Course41,University3,School351,13,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V32RdMAJ,Course25,University25,School351,26,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000V36tSMAR,Course41,University3,School343,15,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000VNQ6SMAX,Course33,University15,School141,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-11-03
a0QPm00000VOcDaMAL,Course45,University24,School530,10,Spring 2026,Active,Offered,Accepted,2025-03-17,
a0QPm00000VQXbBMAX,Course33,University15,School260,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-11-03
