Course Allocation ID,Course Name,University Name,School Name,Enrollment Count,Term Name,End Status,Starting Stage,Next Stage After Start Stage,Date of Change,Admissions Drop Date,Start Date,Days_Before_Start,Allocation_Duration_Days
a0QPm00000UTM0fMAH,Course16,University9,School211,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-08,2026-02-02,56.0,278.0
a0QPm00000UTM8jMAH,Course3,University19,School211,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-08,2026-02-02,56.0,278.0
a0QPm00000UTOLtMAP,Course32,University7,School222,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-09,2026-02-02,55.0,279.0
a0QPm00000UUJOvMAP,Course60,University1,School86,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-12-11,2026-02-02,53.0,281.0
a0QPm00000URBCcMAP,Course51,University1,School46,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-20,2026-02-02,74.0,259.0
a0QPm00000URFcoMAH,Course4,University15,School628,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03,,,242.0
a0QPm00000UVGiMMAX,Course23,University4,School162,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-12-01,2026-02-02,63.0,270.0
a0QPm00000UVK7dMAH,Course33,University15,School411,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-09-04,,,182.0
a0QPm00000UYcPnMAL,Course42,University2,School416,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-03-21,2026-02-02,318.0,15.0
a0QPm00000UYcuSMAT,Course73,University15,School486,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-04-11,,,36.0
a0QPm00000UYebGMAT,Course4,University15,School132,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03,,,242.0
a0QPm00000UYf5vMAD,Course4,University15,School133,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03,,,242.0
a0QPm00000UYGp6MAH,Course4,University15,School590,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03,,,242.0
a0QPm00000UYhPTMA1,Course73,University15,School590,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-11-03,,,242.0
a0QPm00000UYjG0MAL,Course9,University4,School490,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-12-12,2026-02-02,52.0,281.0
a0QPm00000UYvCIMA1,Course13,University9,School387,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-22,2026-02-02,103.0,230.0
a0QPm00000UYzarMAD,Course81,University23,School387,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-22,2026-02-02,103.0,230.0
a0QPm00000UYzpNMAT,Course33,University15,School387,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-22,,,230.0
a0QPm00000UZGAQMA5,Course32,University7,School170,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-04-03,2026-02-02,305.0,28.0
a0QPm00000UZU5BMAX,Course65,University10,School354,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-06,2025-10-24,2026-02-02,101.0,232.0
a0QPm00000TpbYJMAZ,Course35,University1,School562,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-18,2026-02-02,46.0,286.0
a0QPm00000TpQJ9MAN,Course70,University1,School562,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-04-18,,,42.0
a0QPm00000TxUauMAF,Course60,University1,School518,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-03-21,2026-02-02,318.0,14.0
a0QPm00000Uf1zrMAB,Course16,University9,School606,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-07-08,2026-02-02,209.0,123.0
a0QPm00000Ufr7BMAR,Course23,University4,School128,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-10-28,2026-02-02,97.0,235.0
a0QPm00000UgjgzMAB,Course48,University21,School223,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12,2026-02-02,52.0,280.0
a0QPm00000UgPQbMAN,Course60,University1,School128,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-10-28,2026-02-02,97.0,235.0
a0QPm00000UODShMAP,Course73,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-11-03,,,241.0
a0QPm00000UOFG0MAP,Course33,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-10-30,,,237.0
a0QPm00000UOZUoMAP,Course4,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-11-03,,,241.0
a0QPm00000URIPNMA5,Course33,University15,School223,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-11-03,,,241.0
a0QPm00000UU6JeMAL,Course13,University9,School155,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12,2026-02-02,52.0,280.0
a0QPm00000UU9nmMAD,Course60,University1,School155,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12,2026-02-02,52.0,280.0
a0QPm00000UVLtJMAX,Course41,University3,School83,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-12-12,2026-02-02,52.0,280.0
a0QPm00000UZ2orMAD,Course73,University15,School88,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-07,2025-09-29,,,206.0
a0QPm00000UgV4XMAV,Course51,University1,School257,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-08,2025-03-14,2026-02-02,325.0,6.0
a0QPm00000UkI79MAF,Course48,University21,School422,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-09,2025-03-21,2026-02-02,318.0,12.0
a0QPm00000UgItiMAF,Course21,University24,School59,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-12-02,2026-02-02,62.0,267.0
a0QPm00000UgZBNMA3,Course73,University15,School59,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-11-03,,,238.0
a0QPm00000UPRlLMAX,Course45,University24,School430,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-12-16,2026-02-02,48.0,281.0
a0QPm00000UYqisMAD,Course51,University1,School380,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-10,2025-12-16,2026-02-02,48.0,281.0
a0QPm00000UgbbOMAR,Course51,University1,School405,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-04-25,2026-02-02,283.0,45.0
a0QPm00000UgVR9MAN,Course4,University15,School405,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-11-03,,,237.0
a0QPm00000UnMhGMAV,Course3,University19,School28,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-09-29,2026-02-02,126.0,202.0
a0QPm00000UU3f8MAD,Course70,University1,School514,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-12-16,,,280.0
a0QPm00000UU4zOMAT,Course21,University24,School514,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-12-16,2026-02-02,48.0,280.0
a0QPm00000Uwmr1MAB,Course80,University10,School144,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-12-16,2026-02-02,48.0,280.0
a0QPm00000UwzmdMAB,Course35,University1,School144,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2026-01-09,2026-02-02,24.0,304.0
a0QPm00000Ux4HdMAJ,Course33,University15,School525,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-11-03,,,237.0
a0QPm00000UYscbMAD,Course51,University1,School417,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-03-21,2026-02-02,318.0,10.0
a0QPm00000UZ1CvMAL,Course33,University15,School304,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-11,2025-11-03,,,237.0
a0QPm00000TjvUTMAZ,Course45,University24,School177,4,Spring 2026,Dropped,Offered,Accepted,2025-03-12,,2026-02-02,,
a0QPm00000TjY3IMAV,Course65,University10,School177,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-12,2025-12-12,2026-02-02,52.0,275.0
a0QPm00000UNWlwMAH,Course4,University15,School15,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-12,2025-11-03,,,236.0
a0QPm00000UOhqaMAD,Course32,University7,School420,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2025-10-01,2026-02-02,124.0,202.0
a0QPm00000V16RLMAZ,Course33,University15,School336,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2025-11-03,,,235.0
a0QPm00000V2H7lMAF,Course42,University2,School9,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2026-01-07,2026-02-02,26.0,300.0
a0QPm00000V2sbyMAB,Course45,University24,School166,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-13,2025-05-14,2026-02-02,264.0,62.0
a0QPm00000TpnhXMAR,Course51,University1,School373,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-14,2025-11-20,2026-02-02,74.0,251.0
a0QPm00000UR1mnMAD,Course79,University9,School365,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-14,2025-11-17,2026-02-02,77.0,248.0
a0QPm00000V6vkxMAB,Course82,University14,School188,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-14,2025-12-08,2026-02-02,56.0,269.0
a0QPm00000UTUXhMAP,Course4,University15,School464,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-15,2025-11-03,,,233.0
a0QPm00000V1yukMAB,Course35,University1,School577,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-12-12,2026-02-02,52.0,270.0
a0QPm00000V27jWMAR,Course26,University15,School577,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-10-17,,,214.0
a0QPm00000VNQ6SMAX,Course33,University15,School141,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-11-03,,,231.0
a0QPm00000VQXbBMAX,Course33,University15,School260,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-17,2025-11-03,,,231.0
a0QPm00000UPYI9MAP,Course51,University1,School299,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-04-22,2026-02-02,286.0,35.0
a0QPm00000UTVqLMAX,Course45,University24,School512,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-04-02,2026-02-02,306.0,15.0
a0QPm00000UUIavMAH,Course21,University24,School268,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-12-05,2026-02-02,59.0,262.0
a0QPm00000V72T3MAJ,Course70,University1,School75,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-05-05,,,48.0
a0QPm00000VVyVuMAL,Course51,University1,School164,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2026-01-06,2026-02-02,27.0,294.0
a0QPm00000VW2eLMAT,Course45,University24,School556,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-04-01,2026-02-02,307.0,14.0
a0QPm00000VW55xMAD,Course3,University19,School556,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-05-15,2026-02-02,263.0,58.0
a0QPm00000VWV6sMAH,Course70,University1,School164,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-18,2025-12-16,,,273.0
a0QPm00000TjhHqMAJ,Course33,University15,School34,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-11-03,,,229.0
a0QPm00000TsFkYMAV,Course16,University9,School134,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-05-09,2026-02-02,269.0,51.0
a0QPm00000UPuCIMA1,Course33,University15,School329,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-11-03,,,229.0
a0QPm00000URKm9MAH,Course73,University15,School100,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-11-03,,,229.0
a0QPm00000UZHfpMAH,Course41,University3,School580,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-12-01,2026-02-02,63.0,257.0
a0QPm00000UZW0XMAX,Course82,University14,School334,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-05-09,2026-02-02,269.0,51.0
a0QPm00000V06ErMAJ,Course4,University15,School380,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-11-03,,,229.0
a0QPm00000VPRpZMAX,Course33,University15,School523,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-19,2025-11-03,,,229.0
a0QPm00000Tot0cMAB,Course47,University3,School64,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2025-12-12,2026-02-02,52.0,267.0
a0QPm00000TpIlOMAV,Course45,University24,School64,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2026-01-19,2026-02-02,14.0,305.0
a0QPm00000UgWtSMAV,Course25,University25,School627,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2025-12-04,2026-02-02,60.0,259.0
a0QPm00000V2hdKMAR,Course26,University15,School44,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2025-10-17,,,211.0
a0QPm00000VgegkMAB,Course25,University25,School137,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2025-12-17,2026-02-02,47.0,272.0
a0QPm00000VgnLrMAJ,Course4,University15,School540,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2025-11-03,,,228.0
a0QPm00000Vh1a5MAB,Course35,University1,School540,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-20,2025-05-21,2026-02-02,257.0,62.0
a0QPm00000V1TSjMAN,Course79,University9,School111,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-23,2025-12-03,2026-02-02,61.0,255.0
a0QPm00000Vz77ZMAR,Course26,University15,School526,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-24,2025-10-17,,,207.0
a0QPm00000UQ8wjMAD,Course73,University15,School591,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-25,2025-03-27,,,2.0
a0QPm00000VWKUqMAP,Course21,University24,School58,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-25,2025-12-02,2026-02-02,62.0,252.0
a0QPm00000W3TfEMAV,Course35,University1,School443,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-26,2025-07-14,2026-02-02,203.0,110.0
a0QPm00000W9R6bMAF,Course47,University3,School605,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-26,2025-12-16,2026-02-02,48.0,265.0
a0QPm00000WA3evMAD,Course26,University15,School228,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-26,2025-03-26,,,0.0
a0QPm00000TlfoeMAB,Course45,University24,School29,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-27,2025-08-12,2026-02-02,174.0,138.0
a0QPm00000WA1tGMAT,Course60,University1,School221,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-27,2025-12-01,2026-02-02,63.0,249.0
a0QPm00000WAH5BMAX,Course48,University21,School221,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-27,2025-12-01,2026-02-02,63.0,249.0
a0QPm00000UO6qzMAD,Course45,University24,School393,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-28,2025-11-18,2026-02-02,76.0,235.0
a0QPm00000V4tVVMAZ,Course26,University15,School13,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-28,2025-10-17,,,203.0
a0QPm00000WD8uzMAD,Course48,University21,School194,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-31,2025-12-12,2026-02-02,52.0,256.0
a0QPm00000WYnlWMAT,Course70,University1,School376,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-31,2025-12-19,,,263.0
a0QPm00000TpkOHMAZ,Course11,University2,School104,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-01,2025-12-08,2026-02-02,56.0,251.0
a0QPm00000UkEedMAF,Course21,University24,School619,33,Spring 2026,Dropped,Offered,Accepted,2025-04-02,,2026-02-02,,
a0QPm00000UkO2yMAF,Course51,University1,School619,19,Spring 2026,Dropped,Offered,Accepted,2025-04-02,,2026-02-02,,
a0QPm00000VjP3dMAF,Course4,University15,School620,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-02,2025-11-03,,,215.0
a0QPm00000V59qTMAR,Course79,University9,School91,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-03,2026-01-06,2026-02-02,27.0,278.0
a0QPm00000VaIFvMAN,Course26,University15,School608,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-09,2025-10-17,,,191.0
a0QPm00000VCFxWMAX,Course26,University15,School369,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-09,2025-10-17,,,191.0
a0QPm00000VzWM5MAN,Course51,University1,School608,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-09,2025-12-09,2026-02-02,55.0,244.0
a0QPm00000XWBuzMAH,Course59,University7,School383,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-10,2025-04-23,2026-02-02,285.0,13.0
a0QPm00000UgSGMMA3,Course26,University15,School60,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-14,2025-10-17,,,186.0
a0QPm00000YQcxNMAT,Course80,University10,School487,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-21,2025-12-11,2026-02-02,53.0,234.0
a0QPm00000YQjVpMAL,Course80,University10,School487,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-21,2025-12-01,2026-02-02,63.0,224.0
a0QPm00000VWjrNMAT,Course73,University15,School633,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-22,2025-06-11,,,50.0
a0QPm00000WtSu5MAF,Course40,University9,School648,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-22,2025-12-12,2026-02-02,52.0,234.0
a0QPm00000Y3BcsMAF,Course29,University24,School366,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-22,2025-06-23,2026-02-02,224.0,62.0
a0QPm00000UPS6HMAX,Course73,University15,School123,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-23,2025-11-03,,,194.0
a0QPm00000VUMkQMAX,Course40,University9,School414,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-23,2025-05-28,2026-02-02,250.0,35.0
a0QPm00000Yb6XiMAJ,Course3,University19,School261,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-23,2025-05-09,2026-02-02,269.0,16.0
a0QPm00000UYqxNMAT,Course33,University15,School181,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-24,2025-11-03,,,193.0
a0QPm00000W1BINMA3,Course82,University14,School106,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-24,2025-12-15,2026-02-02,49.0,235.0
a0QPm00000YEWhEMAX,Course73,University15,School466,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-28,2025-11-03,,,189.0
a0QPm00000Yh2ZGMAZ,Course45,University24,School557,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-28,2026-01-06,2026-02-02,27.0,253.0
a0QPm00000Z5EuGMAV,Course35,University1,School283,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-29,2025-12-11,2026-02-02,53.0,226.0
a0QPm00000Uncm1MAB,Course79,University9,School195,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-04-30,2025-12-09,2026-02-02,55.0,223.0
a0QPm00000UnMFrMAN,Course73,University15,School255,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-01,2025-11-03,,,186.0
a0QPm00000ZLmohMAD,Course35,University1,School138,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-02,2025-07-02,2026-02-02,215.0,61.0
a0QPm00000ZMGhtMAH,Course23,University4,School138,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-02,2025-07-02,2026-02-02,215.0,61.0
a0QPm00000ZRsD5MAL,Course35,University1,School49,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-02,2025-05-08,2026-02-02,270.0,6.0
a0QPm00000VjjFIMAZ,Course25,University25,School416,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-05,2025-05-05,2026-02-02,273.0,0.0
a0QPm00000Wpt1dMAB,Course82,University14,School596,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-06,2025-05-07,2026-02-02,271.0,1.0
a0QPm00000Z5vhTMAR,Course13,University9,School310,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-06,2026-01-07,2026-02-02,26.0,246.0
a0QPm00000ZkCtFMAV,Course51,University1,School98,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-06,2025-12-12,2026-02-02,52.0,220.0
a0QPm00000YiWF7MAN,Course3,University19,School251,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-07,2025-12-11,2026-02-02,53.0,218.0
a0QPm00000YUvWjMAL,Course40,University9,School345,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-07,2025-05-15,2026-02-02,263.0,8.0
a0QPm00000ZqUFaMAN,Course21,University24,School538,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-07,2025-12-30,2026-02-02,34.0,237.0
a0QPm00000a4lurMAA,Course35,University1,School414,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-09,2025-05-28,2026-02-02,250.0,19.0
a0QPm00000aQW9EMAW,Course35,University1,School254,9,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-13,2026-01-21,2026-02-02,12.0,253.0
a0QPm00000V34jaMAB,Course51,University1,School649,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-13,2025-05-13,2026-02-02,265.0,0.0
a0QPm00000UYectMAD,Course51,University1,School262,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-14,2025-12-18,2026-02-02,46.0,218.0
a0QPm00000Z5pAcMAJ,Course59,University7,School572,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-19,2025-12-03,2026-02-02,61.0,198.0
a0QPm00000Z5xPtMAJ,Course35,University1,School572,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-19,2025-12-03,2026-02-02,61.0,198.0
a0QPm00000VVBF3MAP,Course79,University9,School208,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-21,2025-05-21,2026-02-02,257.0,0.0
a0QPm00000UTOthMAH,Course79,University9,School293,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-27,2025-10-15,2026-02-02,110.0,141.0
a0QPm00000Z8wYvMAJ,Course35,University1,School232,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-27,2026-01-06,2026-02-02,27.0,224.0
a0QPm00000aiqMLMAY,Course13,University9,School576,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-28,2026-01-08,2026-02-02,25.0,225.0
a0QPm00000bj0PyMAI,Course48,University21,School392,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-28,2025-12-05,2026-02-02,59.0,191.0
a0QPm00000brnQJMAY,Course48,University21,School56,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-30,2025-11-24,2026-02-02,70.0,178.0
a0QPm00000brPRFMA2,Course51,University1,School56,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-05-30,2025-11-24,2026-02-02,70.0,178.0
a0QPm00000bhlw1MAA,Course9,University4,School73,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-06-03,2026-01-05,2026-02-02,28.0,216.0
a0QPm00000aw9arMAA,Course51,University1,School287,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-06-04,2026-01-05,2026-02-02,28.0,215.0
